planner,H,timestep,premature
igo,1,0,False
igo,1,1,False
igo,1,2,False
igo,1,3,False
igo,1,4,False
igo,1,5,False
igo,1,6,False
igo,1,7,False
igo,1,8,False
igo,1,9,False
igo,1,10,False
igo,1,11,False
igo,1,12,False
igo,1,13,False
igo,1,14,False
igo,1,15,False
igo,1,16,False
igo,1,17,False
igo,1,18,False
igo,1,19,False
igo,1,20,False
igo,1,21,False
igo,1,22,False
igo,1,23,False
igo,1,24,False
igo,1,25,False
igo,1,26,False
igo,1,27,False
igo,1,28,False
igo,1,29,False
igo,1,30,False
igo,1,31,False
igo,1,32,False
igo,1,33,False
igo,1,34,False
igo,1,35,False
igo,1,36,False
igo,1,37,False
igo,1,38,False
igo,1,39,False
igo,1,40,False
igo,1,41,False
igo,1,42,False
igo,1,43,False
igo,1,44,False
igo,1,45,False
igo,1,46,False
igo,1,47,False
igo,1,48,False
igo,1,49,False
igo,1,50,False
igo,1,51,False
igo,1,52,False
igo,1,53,False
igo,1,54,False
igo,1,55,False
igo,1,56,False
igo,1,57,False
igo,1,58,False
igo,1,59,False
igo,1,60,False
igo,1,61,False
igo,1,62,False
igo,1,63,False
igo,1,64,False
igo,1,65,False
igo,1,66,False
igo,1,67,False
igo,1,68,False
igo,1,69,False
igo,1,70,False
igo,1,71,False
igo,1,72,False
igo,1,73,False
igo,1,74,False
igo,1,75,False
igo,1,76,False
igo,1,77,False
igo,1,78,False
igo,1,79,False
igo,1,80,False
igo,1,81,False
igo,1,82,False
igo,1,83,False
igo,1,84,False
igo,1,85,False
igo,1,86,False
igo,1,87,False
igo,1,88,False
igo,1,89,False
igo,1,90,False
igo,1,91,False
igo,1,92,False
igo,1,93,False
igo,1,94,False
igo,1,95,False
igo,1,96,False
igo,1,97,False
igo,1,98,False
igo,1,99,False
igo,1,100,False
igo,1,101,False
igo,1,102,False
igo,1,103,False
igo,1,104,False
igo,1,105,False
igo,1,106,False
igo,1,107,False
igo,1,108,False
igo,1,109,False
igo,1,110,False
igo,1,111,False
igo,1,112,False
igo,1,113,False
igo,1,114,False
igo,1,115,False
igo,1,116,False
igo,1,117,False
igo,1,118,False
igo,1,119,False
igo,1,120,False
igo,1,121,False
igo,1,122,False
igo,1,123,False
igo,1,124,False
igo,1,125,False
igo,1,126,False
igo,1,127,False
igo,1,128,False
igo,1,129,False
igo,1,130,False
igo,1,131,False
igo,1,132,False
igo,1,133,False
igo,1,134,False
